"name","state.x","White","Black","Hispanic","Asian","Women","World.Rank","Location","National.Rank","Quality.of.Education","Alumni.Employment","Quality.of.Faculty","Research.Performance","Score","Men","act-avg","sat-avg","acceptance-rate","percent-receiving-aid","cost-after-aid","state.y","isPublic","tuition","total","White2","Black2","Hispanic2","Asian2","rank","state_name","early_career_pay","mid_career_pay","make_world_better_percent","stem_percent"
"University of Virginia","Virginia",61.5666610483735,5.51575931232092,5.23344008090342,10.0792179335918,54.0409573571549,53,"USA",35,"315","30","136","121",84.4,45.9590426428451,29,1240,30,28,28079,"VA",TRUE,46975,82.3950783751896,74.7212846476424,6.6942824997443,6.35164160785517,12.2327912447581,3,"Virginia",64500,117500,46,23
"Ohio State University","Ohio",69.0699907410583,5.32903535544049,3.51325400363499,5.72511230753403,49.1375467233634,54,"USA",36,"113","233","113","32",84.3,50.8624532766366,27,1160,54,9,37032,"OH",TRUE,29659,83.6373924076678,82.5826687713975,6.37159433362717,4.20057811763259,6.84515877734271,10,"Ohio",55300,98600,49,27
"University of Colorado Boulder","Colorado",70.5414405525407,1.57868771583621,9.37962506166749,4.98581647755303,44.1230883078441,57,"USA",37,"139","168","29","81",84.1,55.8769116921559,25,1070,77,12,41125,"CO",TRUE,35079,86.4855698075974,81.5644051481336,1.82537701878855,10.8453064280367,5.76491140504118,3,"Colorado",57800,109900,48,39
"Purdue University","Indiana",60.9881263835782,3.02374723284363,3.96206480177098,5.22237874823908,41.6280941839404,61,"USA",38,"107","76","64","102",83.8,58.3719058160596,25,1080,56,16,28383,"IN",TRUE,28804,73.1963171664319,83.321304601849,4.13101006976664,5.41292916795546,7.13475616042891,4,"Indiana",60900,110000,48,38
"University of Pittsburgh","Pennsylvania",68.5711290491666,4.86773596114198,2.91784603557326,7.64580494111892,52.0739420624105,63,"USA",39,"237","210","149","30",83.7,47.9260579375895,27,1190,55,NA,NA,"PA",TRUE,30642,84.0025159870007,81.6298514913266,5.79475019759557,3.47352219310287,9.10187611797496,19,"Pennsylvania",55900,100400,50,27
"University of California, Irvine","California",19.8695550896809,1.81358357458986,21.4768227346844,36.178496555855,51.7719876210442,65,"USA",40,"-","1427","22","85",83.6,48.2280123789558,NA,1060,41,6,43506,"CA",TRUE,43530,79.3384579548102,25.0440399295361,2.28588205687442,27.0698766881973,45.6002013253922,16,"California",59600,116000,49,34
"University of California, Santa Barbara","California",38.4104811071103,2.04763350830767,23.2788165372435,17.8126762396425,51.5292178213527,66,"USA",41,"74","534","26","115",83.5,48.4707821786473,25,1140,36,8,44849,"CA",TRUE,42423,81.549607392304,47.1007553995106,2.51090541546973,28.5455899563783,21.8427492286413,14,"California",59700,116300,47,29
"University of Arizona","Arizona",52.206648356852,3.31944312908419,22.2677336869022,5.66341509612653,51.8301922530543,69,"USA",43,"276","180","47","86",83.3,48.1698077469457,21,970,79,29,35051,"AZ",TRUE,32449,83.4572402689649,62.554966098329,3.9774177990865,26.6816079888791,6.78600811370535,2,"Arizona",56100,101000,51,23
"Boston University","Massachusetts",45.5966616841056,3.70577977080219,7.53300946686597,10.7374190333832,58.4360986547085,74,"USA",44,"487","112","144","62",83,41.5639013452915,28,1220,29,36,34539,"MA",TRUE,52082,67.572869955157,67.4777639522559,5.48412369233605,11.147979169547,15.8901331858611,13,"Massachusetts",61400,113600,43,25
"University of Florida","Florida",55.2316059766675,6.37093350047514,16.4317919893245,7.07859034756061,54.2267332538062,81,"USA",45,"243","453","124","55",82.7,45.7732667461938,27,1180,46,20,36825,"FL",TRUE,28658,85.1129218140278,64.8921512732801,7.48527175978715,19.3058722919042,8.31670467502851,4,"Florida",55800,102800,52,29
